Nivel (pulgadas fraccionarias);Volumen lleno (galones estadounidenses)
94    ;10682.19
94 1/8;10688.25
94 1/4;10694.19
94 3/8;10699.99
94 1/2;10705.67
94 5/8;10711.2
94 3/4;10716.6
94 7/8;10721.85
95    ;10726.96
95 1/8;10731.91
95 1/4;10736.7
95 3/8;10741.32
95 1/2;10745.78
95 5/8;10750.05
95 3/4;10754.14
95 7/8;10758.03
96    ;10761.71
96 1/8;10765.17
96 1/4;10768.39
96 3/8;10771.36
96 1/2;10774.04
96 5/8;10776.41
96 3/4;10778.41
96 7/8;10779.96
97    ;10780.81
97 1/4;10991.76
97 3/8;10994.74
97 1/2;10997.44
97 5/8;10999.82
97 3/4;11001.83
97 7/8;11003.39
98    ;11004.24
